iter	RMSE
0	1.300224339
1	1.180563381
2	1.073255216
3	0.9772363109
4	0.8917832457
5	0.8156432323
6	0.7479070516
7	0.6878813598
8	0.634839761
9	0.5879882447
10	0.5469574176
11	0.5110046612
12	0.4797654573
13	0.4525027275
14	0.4290343038
15	0.4090273705
16	0.3916088481
17	0.3767247427
18	0.3640239715
19	0.3532359975
20	0.3440770292
21	0.3364368413
22	0.3297880635
23	0.3243766413
24	0.3197316699
25	0.3159177193
26	0.3126198073
27	0.3098021791
28	0.3074571969
29	0.3054770639
30	0.3038911095
31	0.3025144968
32	0.3013357039
33	0.3003706392
34	0.2995434844
35	0.2988128006
36	0.2982118806
37	0.2976344487
38	0.2971362247
39	0.2967570167
40	0.2964158089
41	0.2960795025
42	0.2958129318
43	0.2955236541
44	0.2952739084
45	0.295074748
46	0.2948549727
47	0.2946969838
48	0.2945645354
49	0.294418662
50	0.2942756336
51	0.2941555269
52	0.2940615087
53	0.2938916678
54	0.2937805204
55	0.2936720048
56	0.2935711147
57	0.2934491819
58	0.293323932
59	0.2931406497
60	0.2930745013
61	0.2930016777
62	0.2929374484
63	0.2928798681
64	0.2927563463
65	0.2926881488
66	0.2926274354
67	0.2925622225
68	0.2925258644
69	0.2924847533
70	0.2924197892
71	0.2923299338
72	0.2922667699
73	0.2922307661
74	0.2921642813
75	0.2920603321
76	0.2920253062
77	0.2919606915
78	0.2919245596
79	0.2918986824
80	0.2918699619
81	0.2918406762
82	0.2917765428
83	0.2917050627
84	0.2916056222
85	0.2915847714
86	0.2915531054
87	0.2915373767
88	0.2914529898
89	0.2913839543
90	0.2913298487
91	0.2912727352
92	0.2912352503
93	0.2911557776
94	0.2911107589
95	0.2910899935
96	0.2910687936
97	0.291010904
98	0.2909907053
99	0.2909508275
100	0.2908656157
101	0.2908427674
102	0.2907676819
103	0.2907243971
104	0.2906836058
105	0.2906642917
106	0.2906472849
107	0.2906276558
108	0.2906069365
109	0.2905910859
110	0.2905273322
111	0.2904983853
112	0.2904714026
113	0.2904206481
114	0.2903648392
115	0.290352669
116	0.2903167811
117	0.290274166
118	0.2902113725
119	0.2901753257
120	0.2901620873
121	0.2901444552
122	0.2901073194
123	0.2900801185
124	0.2900601581
125	0.2900456819
126	0.2900324577
127	0.2900000463
128	0.2899872647
129	0.2899286032
130	0.2899187999
131	0.2898840308
132	0.2898628135
133	0.2898533415
134	0.2898431212
135	0.289825035
136	0.2898140857
137	0.2897600308
138	0.2897498172
139	0.2897377324
140	0.2897236042
141	0.2897027798
142	0.2896903997
143	0.2896680859
144	0.2896302112
145	0.289585441
146	0.2895749279
147	0.2895633721
148	0.2895239353
149	0.2894929346
150	0.2894593898
151	0.2894341527
152	0.2894255171
153	0.2893779814
154	0.2893574156
155	0.2893373345
156	0.289317819
157	0.2892908376
158	0.2892558715
159	0.2892263414
160	0.2892026544
161	0.2891787426
162	0.2891691063
163	0.2891456579
164	0.2891363144
165	0.2891061641
166	0.2890954713
167	0.2890601876
168	0.2890520578
169	0.2890335977
170	0.2890244737
171	0.2890149439
172	0.2889840102
173	0.2889749354
174	0.2889556287
175	0.2889245468
176	0.2889163929
177	0.2888934817
178	0.2888782979
179	0.2888640668
180	0.2888544404
181	0.2888363024
182	0.2888107674
183	0.2887878783
184	0.2887716438
185	0.2887646323
186	0.2887380051
187	0.2887221128
188	0.2887079958
189	0.2886995719
190	0.2886751515
191	0.2886663613
192	0.288640395
193	0.2886251979
194	0.2886143452
195	0.2886078781
196	0.2885933595
197	0.2885860694
198	0.2885710218
199	0.28856497
200	0.2885548157
201	0.2885479309
202	0.2885386087
203	0.2885313274
204	0.2885091271
205	0.2884944309
206	0.2884639087
207	0.2884413375
208	0.2884283445
209	0.2884092654
210	0.2883896669
211	0.2883812947
212	0.2883738571
213	0.2883673439
214	0.2883461268
215	0.2883229061
216	0.2883187394
217	0.2883085053
218	0.2882968581
219	0.2882903432
220	0.2882822222
221	0.2882666606
222	0.2882615884
223	0.28825429
224	0.2882372122
225	0.2882186084
226	0.2882062662
227	0.2881879045
228	0.2881804517
229	0.2881717684
230	0.2881599631
231	0.2881499471
232	0.2881354563
233	0.2881285818
