iter	Passed	Remaining
0	5	26191
1	9	24797
2	14	23974
3	18	23564
4	23	23299
5	27	23094
6	32	23024
7	36	22933
8	41	22912
9	45	22881
10	50	22823
11	54	22822
12	59	22742
13	63	22784
14	68	22761
15	73	22759
16	77	22736
17	82	22705
18	86	22688
19	91	22675
20	95	22665
21	100	22672
22	104	22677
23	109	22644
24	113	22655
25	118	22609
26	122	22585
27	127	22602
28	131	22626
29	136	22627
30	141	22630
31	145	22609
32	150	22623
33	155	22684
34	160	22763
35	165	22793
36	169	22799
37	174	22804
38	179	22816
39	183	22805
40	188	22757
41	192	22746
42	196	22705
43	201	22668
44	205	22674
45	210	22692
46	215	22698
47	220	22719
48	225	22739
49	229	22757
50	234	22787
51	239	22793
52	244	22781
53	248	22800
54	253	22829
55	258	22807
56	262	22758
57	266	22746
58	271	22725
59	275	22714
60	280	22687
61	284	22679
62	289	22658
63	293	22659
64	298	22643
65	302	22638
66	306	22601
67	311	22570
68	315	22546
69	319	22521
70	323	22492
71	328	22470
72	332	22474
73	337	22461
74	341	22439
75	346	22427
76	350	22416
77	355	22403
78	359	22385
79	363	22371
80	368	22363
81	372	22338
82	377	22336
83	381	22319
84	385	22306
85	390	22297
86	394	22297
87	399	22284
88	403	22265
89	407	22257
90	412	22256
91	417	22254
92	421	22255
93	426	22236
94	430	22223
95	435	22221
96	439	22212
97	443	22205
98	448	22197
99	452	22179
100	456	22161
101	461	22159
102	465	22149
103	470	22143
104	474	22130
105	479	22131
106	483	22130
107	489	22162
108	494	22184
109	498	22168
110	503	22155
111	507	22143
112	511	22129
113	516	22124
114	520	22117
115	525	22115
116	529	22116
117	534	22106
118	538	22097
119	543	22092
120	547	22077
121	551	22066
122	556	22070
123	560	22053
124	565	22049
125	569	22042
126	574	22032
127	578	22017
128	582	22008
129	587	22000
130	591	21990
131	595	21978
132	600	21957
133	604	21956
134	609	21954
135	613	21944
136	618	21945
137	622	21930
138	626	21925
139	631	21920
140	640	22068
141	648	22197
142	660	22418
143	667	22494
144	679	22760
145	687	22848
146	697	23032
147	707	23196
148	714	23257
149	723	23391
150	733	23540
151	744	23761
152	749	23735
153	761	23947
154	766	23958
155	778	24179
156	783	24170
157	795	24392
158	802	24439
159	814	24637
160	825	24797
161	832	24849
162	843	25029
163	849	25053
164	862	25280
165	871	25382
166	881	25520
167	894	25727
168	902	25806
169	914	25987
170	925	26147
171	931	26133
172	942	26283
173	955	26493
174	964	26583
175	976	26757
176	981	26738
177	992	26874
178	1005	27087
